'Ehdokasnumero';'Etunimet';'Sukunimi';'Arvo/ammatti/tehtava';'Vaalipiiri/Kunta';'Puolue';'Ehdokkaan mahdollisen tukiryhman nimi';'Vaalikampanjan kulut yhteensa';'Sanoma- ilmaisjakelu- ja aikakauslehdet';'Radio';'Televisio';'Tietoverkot';'Muut viestintavalineet';'Ulkomainonta';'Vaalilehtien esitteiden ja muun painetun materiaalin hankinta';'Mainonnan suunnittelu';'Vaalitilaisuudet';'Vastikeellisen tuen hankintakulut';'Muut kulut';'Vaalikampanjan rahoitus yhteensa';'2.1 Rahoitus sisaltaa omia varoja yhteensa';'2.2 Rahoitus sisaltaa ehdokkaan ja tukiryhman ottamia lainoja yhteensa';'2.3 Rahoitus sisaltaa yksityishenkiloilta saatua tukea yhteensa';'2.3 Ei sisalla yhtaan vahintaan 1500 euron tukisuoritusta yksityishenkilolta ("x")';'2.3 Rahoitus sisaltaa yksityishenkiloilta saatua tukea yhteensa lisatietokentan teksti';'2.4 Rahoitus sisaltaa yrityksilta saatua tukea yhteensa';'2.4 Ei sisalla yhtaan vahintaan 1500 euron tukisuoritusta yrityksilta ("x")';'2.4 Rahoitus sisaltaa yrityksilta saatua tukea yhteensa lisatietokentan teksti';'2.5 Rahoitus sisaltaa puolueelta saatua tukea yhteensa';'2.5 Ei sisalla yhtaan vahintaan 1500 euron tukisuoritusta puolueelta ("x")';'2.5 Rahoitus sisaltaa puolueelta saatua tukea yhteensa lisatietokentan teksti';'2.6 Rahoitus sisaltaa puolueyhdistyksilta saatua tukea yhteensa';'2.6 Ei sisalla yhtaan vahintaan 1500 euron tukisuoritusta puolueyhdistyksilta ("x")';'2.6 Rahoitus sisaltaa puolueyhdistyksilta saatua tukea yhteensa lisatietokentan teksti';'2.7 Rahoitus sisaltaa muilta tahoilta saatua tukea yhteensa';'2.7 Ei sisalla yhtaan vahintaan 1500 euron tukisuoritusta muilta tahoilta ("x")';'2.7 Rahoitus sisaltaa muilta tahoilta saatua tukea yhteensa lisatietokentan teksti';'2.8 Rahoitus sisaltaa valitettya tukea yhteensa';'E. vapaaehtoinen erittely'
'0093';'Elina Maria                   ';'Lepomäki                     ';'diplomi-insinööri, kauppatieteiden maisteri                 ';'Uudenmaan vaalipiiri            ';'KOK ';'';'53359,55';'13550,65';'0';'18184,5';'9230,1';'0';'1500';'3885,95';'3356,31';'1360,8';'0';'2291,24';'53359,55';'22589,96';'0';'14715,28';' ';'';'4504,31';' ';'';'0';' ';'';'11000';' ';'';'550';'X';'';'0';''
'0104';'Kari Tapani                   ';'Tolvanen                     ';'väkivaltarikosyksikön johtaja, rikosylikomisario            ';'Uudenmaan vaalipiiri            ';'KOK ';'Turvallisen Huomisen Suomi ry';'14169';'8568';'';'';'1472';'';'500';'1839';'343';'447';'';'1000';'14413';'6043';'';'625';'X';'Yksityishenkilöiltä saatu lahjoitus koostuu useista pienistä, tukiryhmään kuuluvien henkilöiden lahjoituksista,';'7745';' ';'Muut yrityslahjoitukset koostuvat useista alle 1500 e lahjoituksista, Edellä mainitun Zonetcom Oy:n lajoituksen lisäksi yritykset ovat maksaneet suoranaista rahallista tukea 3695e, Loput tuet, joita ei ole annettu rahana, ovat arvoltaan noin 1650e, ';'';'X';'';'';'X';'';'';'X';'';'';''
'0376';'Juhani Mikael                 ';'Jungner                      ';'puoluesihteeri                                              ';'Uudenmaan vaalipiiri            ';'SDP ';'';'12039,57';'9083,09';'0';'0';'129,15';'0';'1868';'358,33';'0';'0';'0';'601';'12063,15';'2563,15';'0';'2800';'X';'';'0';'X';'';'0';'X';'';'0';'X';'';'6700';'X';'';'0';'Tukea antoivat lähinnä seminaarilippuja ostamalla: Finanssialan Keskusliitto ry 1200 euroa, Palvelualojen Ammattitiitto PAM 1000 euroa, Suomen Ekonomiliitto SEFE ry 1000 euroa, PRO Ammattiliitto ry 500 euroa, PALTA ry 500 euroa, Metsäteollisuus ry 500 euroa, Kuljetusalan Edunvalvojat ry 500 euroa, Rakennusteollisuus RT ry 500 euroa, Metalliliiton Sos.Dem opintoryhmä 500 euroa ja SAK ry 500 euroa.  '
'0092';'Eero Heikki                   ';'Lehti                        ';'kansanedustaja, yrittäjä                                    ';'Uudenmaan vaalipiiri            ';'KOK ';'Hyvinvoiva Yhteiskunta ry';'90101';'40929';'';'15634';'';'8652';'5862';'7766';'4957';'2977';'';'3324';'90101';'90101';'';'';' ';'';'';' ';'';'';' ';'';'';' ';'';'';' ';'';'';''
'0354';'Tarja-Liisa                   ';'Tallqvist                    ';'lähihoitaja, dokumenttiohjaaja                                ';'Uudenmaan vaalipiiri            ';'KD  ';'';'12676';'3810';'';'';'492';'3084';'490';'1592';'';'1385';'1543';'280';'12676';'10054';'';'435';'X';'';'';'X';'';'';'X';'';'928';'X';'';'1259';'X';'';'';''
'0103';'Cai-Göran Alexander           ';'Stubb                        ';'ulkoasiainministeri                                         ';'Uudenmaan vaalipiiri            ';'KOK ';'';'97562,47';'22751,49';'0,00';'0,00';'7308,00';'0,00';'43681,60';'11103,00';'5521,47';'1455,74';'3764,94';'1976,23';'101041,00';'0,00';'0,00';'34691';' ';'';'62750,00';' ';'';'0';'X';'';'0,00';'X';'';'3600,00';'X';'';'2591';'Cool Finland -seminaari järjestettiin 3.2.2011. Seminaariliput maksoivat yksittäin ostettuina 1200 euroa kappale. Kohta 2.3 sisältää Kansallinen Kokoomus rp:n ehdokaslippaan kautta tehdyt yksityishenkilöiden lahjoitukset.'
'0233';'Arja Sinikka                  ';'Juvonen                      ';'geronomi AMK opiskelija, perushoitaja                       ';'Uudenmaan vaalipiiri            ';'PS  ';'';'17248,09';'7447,28';'';'4582,38';'1057,80';'';'';'3786,34';'';'132,29';'';'242';'17248,09';'4621,99';'5000';'5326,10';' ';'';'';'X';'';'';'X';'';'800';'X';'';'1500';' ';'Tuki saatu Suomen lähi- ja perushoitaja liitolta';'';'Espoon perussuomalaiset ry on tukenut vaalikampanjaa yhteismainoksilla, joissa minun osuuteni oli 500 euroa. Perussuomalaiset naiset ry on tukenut kampanjaa 300.lla eurolla. Isäni Jaakko Juvonen on maksanut kolme lehtimainosta yhteensä 1002,36 euroa. Äitini Raili Juvonen on maksanut yhden lehtimainoksen arvoltaan 624,35. euroa.  '
'0045';'Anna Christina                ';'Gestrin                      ';'agronomie- och forstmagister, riksdagsledamot, maa- ja metsä';'Uudenmaan vaalipiiri            ';'RKP ';'Stödgruppen för Christina Gestrin';'33743,03';'18549,60';'';'';'';'';'1954,34';'7193,51';'5665,85';'379,73';'';'';'33743,03';'18758,32';'';'3050';'X';'';'1040';'X';'';'4370';' ';'';'1694,71';' ';'Ett bidrag på 1500 euro har erhållits av Svenska folkpartiets kommunorganisation i Esbo r,f,, FO-nummer 2213673-4';'4830';'X';'';'';''
'0061';'Veronica Elisabeth            ';'Rehn-Kivi                    ';'Arkitekt, byggnadstillsynschef, arkkitehti, rakennusvalvonta';'Uudenmaan vaalipiiri            ';'RKP ';'';'36840,46';'29677,01';'';'';'';'1656,07';'265,56';'1861,77';'932,72';'735,00';'1660,00';'52,33';'36847,76';'16666,46';'';'7481,30';' ';'';'5150,00';'X';'';'6200,00';' ';'';'';' ';'';'1350,00';'X';'';'';''
'0331';'Jouko Tapani                  ';'Jääskeläinen                 ';'valtiotieteiden tohtori, talousjohtaja                      ';'Uudenmaan vaalipiiri            ';'KD  ';'';'12000';'7590';'1420';'';'300';'200';'';'1570';'';'510';'';'410';'12000';'6715';'';'2400';'X';'';'';' ';'';'';' ';'';'2885';'X';'KD:n Uudenmaan piiri r,y, 1400 euroa ja Vantaan osastot 700 euroa (nämä molemmat lähinnä laskennallisia osuuksia lehti- ym, mainonnasta), lehtimainoksia piirin muut osastot 785 euroa,';'';' ';'';'';''
'0095';'Outi Maarit                   ';'Mäkelä                       ';'kauppatieteiden maisteri, kansanedustaja                    ';'Uudenmaan vaalipiiri            ';'KOK ';'Ihmisen Uusimaa ry';'35612,55';'16089,48';'';'7299,29';'';'';'8556,68';'2377,1';'';'290';'';'1000';'35612,55';'4552,29';'';'5557,17';'X';'';'24503,09';'X';'';'';' ';'';'1000';'X';'';'';' ';'';'';''
'0084';'Pia Liisa                     ';'Kauma                        ';'kauppatieteiden maisteri, toimitusjohtaja                   ';'Uudenmaan vaalipiiri            ';'KOK ';'Pia Kauman tukiryhmä (ei rekisteröityä tukiryhmää)';'58562';'15746';'';'';'';'';'24468';'6000';'1230';'1000';'';'10118';'58562';'51813';'';'1619';'X';'';'5130';'X';'Hieman yli puolet tuesta on tullut Uudenmaan Kokoomuksen järjestämän Tulevaisuuden talous -seminaarin seminaarilippujen myynnistä, lippujen hinnasta tuloutui ehdokkaalle 370 euroa/lippu,';'';' ';'';'';' ';'';'';' ';'';'';''
'0232';'Johanna Maria-Kaarina         ';'Jurva                        ';'lähihoitaja                                                 ';'Uudenmaan vaalipiiri            ';'PS  ';'Johanna Jurvan tukiryhmä';'11157,44';'7446,48';'506,21';'0';'485,85';'565,80';'0';'1526,80';'380';'246,30';'0';'0';'11157,44';'585,84';'0';'7655,85';' ';'Timo Auvinen toimi vaalipäällikkönä';'250';'X';'Painotalo Serimed OY tuki kampanjaa 250 euron arvoisilla autotarroilla,';'0';'X';'';'1165,75';'X';'Vantaan Perussuomalaiset tuki kampanjaa yhteensä 865,75 euron arvoisilla yhteisilmoituksilla, 865,75 euroa oli Johanna Jurvan osuus,';'1500';' ';'';'0';''
'0094';'Marjo Tuulevi                 ';'Matikainen-Kallström         ';'diplomi-insinööri, kansanedustaja                           ';'Uudenmaan vaalipiiri            ';'KOK ';'Havuja ry';'21039,74';'17471,30';'';'';'';'';'1569,48';'857,31';'';'141,65';'';'1000';'21039,74';'17524,44';'';'2099';'X';'';'1000';'X';'';'';' ';'';'';' ';'';'416,30';'X';'Tekniikan akateemiset TEK osuus yhteisilmoituksesta 416,30';'';'Muut kulut: Uudenmaan Kokoomuksen ehdokasmaksu 1000,- €'
'0105';'Raija Elina                   ';'Vahasalo                     ';'kansanedustaja, rehtori, KM                                     ';'Uudenmaan vaalipiiri            ';'KOK ';'Nouseva Uusimaa ry';'64039,94';'29099,75';'';'';'4575,60';'';'5675,84';'12417,50';'8450,10';'1429,95';'';'2391,20';'64039,94';'28847,58';'20000';'8337,49';'X';'Kansalaiskeräys, keräyslupa OKH 749A 29,12,2009 sekä vaalikeräys';'2210';'X';'Uudenmaan Kokoomus ry:n talousseminaariin myytyjä lippuja ja suoria lahjoituksia,';'';' ';'';'';' ';'';'4644,87';' ';'Yhdistyksen edellisten vuosien aikana keräämiä tapahtumatuottoja yms,';'';''
'0202';'Antti Samuli                  ';'Kaikkonen                    ';'kansanedustaja                                              ';'Uudenmaan vaalipiiri            ';'KESK';'';'32319,25';'12181,83';'500';'0';'756,89';'';'4512';'6965,33';'369';'640,85';'';'6393,35';'32655,34';'14500';'0';'13955,34';' ';'';'3700';'X';'';'0';'X';'';'0';'X';'';'500';'X';'';'0';''
'0041';'Thomas Jörn Ingmar            ';'Blomqvist                    ';'riksdagsledamot, jordbrukare                                ';'Uudenmaan vaalipiiri            ';'RKP ';'';'31676,12';'15917,06';'';'';'';'';'6857,25';'4117,50';'3057,56';'';'';'1726,75';'31676,12';'3561,13';'';'6414,99';'X';'';'11000,00';' ';'';'1000,00';'X';'';'2000,00';'X';'';'7700,00';' ';'';'';''
'0227';'Paavo Matti                   ';'Väyrynen                     ';'valtiotieteen tohtori  ';'Uudenmaan vaalipiiri            ';'KESK';'Suomen puolesta ry';'34968';'18397';'';'14924';'';'';'';'1347';'';'300';'';'';'34968';'10000';'';'13584';'X';'Lahjoitukset yksityisisltä 950 euroa, kirjojen myyntituotto 11634 euroa';'11384';'X';'';'';' ';'';'';' ';'';'';' ';'';'';''
'0388';'Antti Ilmari                  ';'Lindtman                     ';'nuorisosihteeri                                             ';'Uudenmaan vaalipiiri            ';'SDP ';'Uusmaalaisten Puolesta ry';'63112,92';'13929,57';'6780,72';'25195,44';'3473,79';'5109,05';'0';'4365,15';'185,42';'2506,43';'0';'1567,35';'63211,95';'10700';'0';'9480';'X';'Lahjoittajat, jotka ovat antaneet suostumuksen nimensä julkaisuun:                                                                                                                        alle 100 euroa; Grönfors Eija ja Helge, Harjula Eija, Heinäluoma Heimo, Isbom Hanna, Järvinen Ilkka, Kulokivi Aki, Käyhkö Pentti, Laukkanen Ismo, Lavikkala Tamara, Loppukaarre Jukka-Pekka, Nurmi Heikki, Pirttijärvi Anssi, Pollari Irja, Rakkolainen Oiva, Ruokolainen Osmo, Saarenketo Raija, Saro Sirkka, Suonpää Heikki, Tuupanen Lauri, Uotila Olli, Vainio Urpo, Ylikännö Juhani	                                                                                                                        100-1000 euroa; Alen Kalevi 1000€, Hako Jukka ja Senja 600€, Helminen Sari 100€, Huopainen Helena 500€, Ihalainen Maunu 100€, Laakso Eeva 100€, Lindtman Raija ja Reijo 950€, Ojansivu Taisto 100€, Oksa Petteri 890€, Paajanen Juhani 100€, Parviainen Tarmo 410€, Pekola Aila 300€, Pekola Erkki 300€, Rantala Erkki 205€, Rasi Eero 100€, Roininen Kari 150€, Stormbom Kaija 800€, Willberg Piia 100€';'4300';'X';'Yritykset, jotka ovat antaneet suostumuksen nimensä julkaisuun:                                                            Pirre Konsultointi Oy, 2029105-2, 800€';'0';'X';'';'16800';' ';'';'21931,95';' ';'';'0';'Lehtimainoksista suurin osa julkaistiin Vantaan Sanomissa ja Länsiväylässä.                                          Radiomainonnan kulut sisältävät mainoksen teon ja mainonnan Radio Rockissa.                                          TV-mainonnan kulut sisältävät mainoksen teon ja mainonnan Nelosella.                                          Tietoverkkomainonta kohdistui facebookiin, Ruutu.fi:hin ja Googleen.                                          Muut viestintävälineet olivat mobiilimarkkinointi sekä mainoksen bussien valotauluilla.                                          Vaalitilaisuudet sisältää kaikki jalkautumis- ja tilaisuuksien kulut.                                          Muissa kuluissa on kokous-, postitus-, monistus-, matka- ja talkookuluja.                                                                                    Lisäksi kaupunginvaltuutettu Timo Auvinen on julkaissut omalla kustannuksellaan seitsemän ehdokkaan yhteismainoksia (ns. Auvisen lista) Vantaan Sanomissa. Mainokset eivät kuuluneet omaan kampanjaani. Auvisen ilmoituksen mukaan osuuteni yhteismainosten kuluista oli 286,71€.'
'0096';'Heikki Tapani                 ';'Mäkinen                      ';'kansanedustaja                                              ';'Uudenmaan vaalipiiri            ';'KOK ';'';'40162,75';'25835,97';'';'';'';'5515,54';'';'1060';'1230';'5521,24';'';'1000';'40162,75';'2090,75';'';'3192';'X';'';'34880';' ';'';'';'X';'';'';'X';'';'';'X';'';'';''
'0234';'Osmo Pietari                  ';'Jääskeläinen                 ';'valtiotieteiden maisteri, kansanedustaja                    ';'Uudenmaan vaalipiiri            ';'PS  ';'Pietari Jääskeläinen tukiryhmä';'15956,07';'11081,38';'';'';'';'';'120';'3019,68';'';'481,89';'';'1253,12';'15956,07';'14353,61';'';'736,71';' ';'';'';' ';'';'';' ';'';'865,75';' ';'';'';' ';'';'';''
'0057';'Mikaela Birgitta              ';'Nylander                     ';'riksdagsledamot, kansanedustaja                             ';'Uudenmaan vaalipiiri            ';'RKP ';'';'50794,36';'27359,12';'';'';'2583,03';'';'';'9492,41';'7402,92';'3316,88';'';'640';'50794,36';'13348,96';'';'7450';' ';'';'24795,40';'X';'';'4000';'X';'Svenska Folkpartiet i Finland rp 4000 euroa';'1200';'X';'SFP i Borgå 1000 euroa, SFP i västra Borgå 200 euroa';'';' ';'';'';''
'0213';'Paula Ilona                   ';'Lehtomäki                    ';'kansanedustaja, ympäristöministeri                          ';'Uudenmaan vaalipiiri            ';'KESK';'Paula Lehtomäen tukiryhmä';'33255,01';'11565,92';'';'';'3410,90';'';'8254,11';'2384,71';'3910,17';'1916,20';'1003,50';'809,50';'33556,25';'11246,75';'';'7196';' ';'';'10393,50';' ';'Yrityksiltä saatu tuki koostuu pääosin 390 euron hintaisista seminaarilipuista,';'';' ';'';'';' ';'';'4720';' ';'Eheän Suomen Tuki - yhdistyksen varainhankinta vuoden 2011 eduskuntavaaleja varten on yhteensä noin 1300 euroa,       Arkadian talouspoliittinen seura -yhdistyksen tuki koostuu kolmen yrityksen ostamista seminaarilipuista, Tukisumma oli alunperin ilmoituksessa kohdassa 2,4,';'';''
'0244';'Mika Ilari                    ';'Niikko                       ';'nuorisojohtaja                                              ';'Uudenmaan vaalipiiri            ';'PS  ';'';'24908,16';'12444,67';'1154,91';'';'955,00';'';'1001,20';'6587,58';'';'2764,80';'';'';'24908,16';'20276,86';'0,00';'1124,90';'X';'';'1350,00';'X';'';'0,00';' ';'';'865,75';'X';'';'1290,65';'X';'';'0,00';''
'0245';'Jussi Lauri Juhani            ';'Niinistö                     ';'filosofian tohtori, pääsihteeri                             ';'Uudenmaan vaalipiiri            ';'PS  ';'';'10356,47';'6775,72';'';'';'';'';'483';'3020,15';'';'';'';'77,60';'10356,47';'7829,14';'';'2131,84';'X';'Veljeni Jaakko Niinistö Vantaalta tuki vaalikampanjaani yhteensä 1281,84 eurolla, Hän on antanut luvan julkistaa nimensä, Lisäksi sain neljältä yksityishenkilöltä tukea yhteensä 850 euroa, Yksi henkilö antoi 50 euroa, yksi henkilö 100 euroa, kaksi henkilöä 200 euroa ja yksi henkilö 300 euroa,';'';'X';'';'';'X';'';'395,49';'X';'Nurmijärven Perussuomalaiset ry tuki kampanjaani maksamalla yhden 395,49 euron hintaisen ilmoituksen paikallislehdessä,';'';'X';'';'';''
'0250';'Pirkko Anneli                 ';'Ruohonen-Lerner              ';'kansanedustaja, riksdagsledamot                             ';'Uudenmaan vaalipiiri            ';'PS  ';'';'10855,90';'8170,49';'';'';'1943,40';'';'';'';'';'400,00';'';'342,01';'10855,90';'10155,90';'';'';' ';'';'';' ';'';'';' ';'';'700';'X';'';'';' ';'';'';'Olen maksanut kansanedustajan palkkiosta 100 euroa kuukaudessa puolueveroa, yhteensä 4800 euroa 4 vuodessa, mikä osittain palautui kampanjaani puolueyhdistysten kautta. Sain Perussuomalaisten Uudenmaan piiriltä 400 euroa kampanjatukea, vaalilehtiä, -karkkeja, käsiesitteitä yms. vaalimateriaalia. Lisäksi perussuomalaiset naiset tukivat kampanjaani 300 eurolla. Olen edustanut Perussuomalaisten eduskuntaryhmää muutamissa tilaisuuksissa myös kampanja-aikana eli 6 kk ennen varsinaista vaalipäivää, tilaisuuksien järjestäjien mahdollisista ilmoituksista ei minulla ole tietoa. '
'0257';'Timo Juhani                   ';'Soini                        ';'valtiotieteiden maisteri, puolueen puheenjohtaja            ';'Uudenmaan vaalipiiri            ';'PS  ';'';'13200';'10000';'';'';'';'';'';'';'';'1500';'';'1700';'13200';'2000';'';'';' ';'';'';' ';'';'10000';' ';'';'1200';'X';'Arvio ehdokkaiden yhteismainontaan käytetystä rahoituksesta,';'';' ';'';'';''
'0019';'Jouni Ensio                   ';'Backman                      ';'Kansanedustaja                                ';'Etelä-Savon vaalipiiri          ';'SDP ';'';'14080,00';'8515,00';'';'';'285,00';'';'1030,00';'1595,00';'185,00';'300,00';'';'2170,00';'14080,00';'5680,00';'';'1400,00';'X';'';'';'X';'';'';'X';'';'3000,00';' ';'';'4000,00';'X';'';'';'Tradeka-yhtymä osuuskunta 1000,00      Metalliliitto ry 1000,00      Metalliliiton ammattiosasto nro 17 Savonlinna 300,00      Muilta ammattiliitoilta yhteensä 1200,00      Hyvä Suomi ry seminaarituloja 500,00       '
'0029';'Satu Johanna                  ';'Taavitsainen                 ';'sosionomi (AMK), yrittäjä                                   ';'Etelä-Savon vaalipiiri          ';'SDP ';'Satu eduskuntaan -yhdistys';'14657,26';'6031,46';'1049,19';'0';'781,89';'782,09';'0';'2873,87';'0';'2743,50';'0';'395,26';'14657,26';'1878';'0';'9292,26';' ';'';'0';'X';'';'0';'X';'';'1137';'X';'';'2350';'X';'';'0';'Alle 1500 euron tukea, olen saanut 51 yksityishenkilöltä, puolueyhdistyksiltä ja muilta tahoilta, jotka eivät halua nimeään julkisuuteen.'
'0032';'Johanna Pauliina              ';'Viitamies                    ';'kansanedustaja       ';'Etelä-Savon vaalipiiri          ';'SDP ';'';'27850,14';'10371,95';'3805,62';'5112,57';'282,90';'';'1420';'1005';'3690';'2162,10';'';'';'27850,14';'7850,14';'';'';'X';'';'';'X';'';'';'X';'';'20000';' ';'';'';'X';'';'';''
'0060';'Kaj Valentin                  ';'Turunen                      ';'yrittäjä                                                    ';'Etelä-Savon vaalipiiri          ';'PS  ';'';'10358,83';'2824,72';'';'';'5900,31';'';'1033,20';'321';'';'';'';'279,60';'10358,83';'';'5760,83';'1400';'X';'';'3198';'X';'';'';' ';'';'';' ';'';'';' ';'';'';''
'0066';'Katri Helena                  ';'Komi                         ';'kansanedustaja, MMM                                         ';'Etelä-Savon vaalipiiri          ';'KESK';'';'24598,94';'12348,37';'547,35';'4237,62';'';'467,40';'';'2611,75';'1629,75';'740,10';'';'2016,60';'24598,94';'22173,94';'';'425';'X';'';'1500';'X';'';'';'X';'';'';'X';'';'500';'X';'MTK:lta 500 euroa';'';''
'0069';'Jari Juhani                   ';'Leppä                        ';'kansanedustaja, maanviljelijä                               ';'Etelä-Savon vaalipiiri          ';'KESK';'';'34270,65';'20742,66';'';'';'';'';'350,00';'4041,33';'3879,00';'2657,66';'';'2600,00';'34270,65';'24950,65';'';'4470,00';'X';'';'3850,00';'X';'';'';' ';'';'';' ';'';'1000,00';'X';'';'';''
'0056';'Jukka Juhani                  ';'Pöyry                        ';'LVI-teknikko                                                ';'Etelä-Savon vaalipiiri          ';'PS  ';'Jukka Pöyryn tukiryhmä 2011';'8961,33';'7061,23';'0';'0';'0';'0';'180,00';'280,00';'762,60';'0';'0';'677,50';'8961,33';'7414,63';'0';'1546,70';'X';'';'0';'X';'';'0';'X';'';'0';'X';'';'0';'X';'';'0';''
'0067';'Seija Kyllikki                ';'Korhonen                     ';'erikoislääkäri, lääketieteen tohtori                        ';'Etelä-Savon vaalipiiri          ';'KESK';'Etelä-Savon hyväksi ry';'21119,45';'11904,87';'';'';'';'1243,54';'373,92';'5257,02';'';'363,75';'';'1976,35';'21119,45';'15682,10';'';'3437,35';' ';'';'500,00';'X';'';'';'X';'';'1500,00';'X';'';'';' ';'';'';''
'0008';'Olli Erik                     ';'Nepponen                     ';'kansanedustaja, prikaatikenraali                            ';'Etelä-Savon vaalipiiri          ';'KOK ';'';'32396';'19441';'';'7436';'';'';'686';'947';'3886';'';'';'';'32396';'19851';'';'5895';'X';'';'6650';' ';'';'';'X';'';'';'X';'';'';'X';'';'';''
'0014';'Lenita Anneli                 ';'Toivakka                     ';'kansanedustaja, kauppatieteiden maisteri                    ';'Etelä-Savon vaalipiiri          ';'KOK ';'';'39981,22';'20490,06';'';'4590,45';'';'2631,16';'2214,00';'3635,00';'3690,00';'1185,70';'';'1544,85';'39981,22';'14406,22';'';'7900,00';' ';'';'13715,00';' ';'';'';' ';'';'';' ';'';'3960,00';'X';'Myyty 6 kpl lippuja yhteensä neljälle yritykselle Arkadian Talousseuran järjestämään seminaariin,';'';'Alle 1500 euron tukea, olen saanut 24 yritykseltä ja 4 yksityishenkilöltä, jotka eivät halua nimeään julkisuuteen.'
'0105';'Tytti Johanna                 ';'Tuppurainen                  ';'projektisuunnittelija                  ';'Oulun vaalipiiri                ';'SDP ';'Tytti Tuppuraisen tukiryhmä';'31625,29';'14029,69';'';'7700,12';'513,94';'';'2450';'1969,85';'1818,37';'2883,96';'';'259,36';'31625,29';'';'13120';'8384,99';'X';'';'4085';'X';'';'';' ';'';'630';'X';'';'5405,30';' ';'';'';''
'0067';'Merja Sinikka                 ';'Kyllönen                     ';'kansanedustaja, bioanalyytikko                              ';'Oulun vaalipiiri                ';'VAS ';'';'28383,88';'9339,19';'1000';'5135,53';'';'1826,20';'';'9728,75';'';'1354,21';'';'';'28383,88';'14578,66';'';'2635,22';'X';'';'';'X';'';'';' ';'';'7500';' ';'';'3670';'X';'';'';'Vaalirahoituksen osalta yksityishenkilöiltä saamani summat ovat vaihdelleet 20 euron ja 400 euron välillä.      Puolueyhdistysten osalta saamani summat ovat vaihdelleet 500 euron ja 1000 euron välillä. Suurin tuki 1000 euroa tuli Kainuun Vasemmistolta ja Vasemmistonaisilta 500 euroa.      Muiden tahojen tuki muodostui suurimpana Osuuskunta Tradeka yhtymän tuesta 1000 euroa, lisäksi sain Pam:ilta 200 euroa, Mtk:lta 250 euroa ja Lapin metsämarkkinoilta 300 euroa. Lopputuki koostuu alle 100 euron summista. Suurin hinnoittelematon apu on tullut lukuisten yksityishenkilöiden tekemästä talkootyöstä.'
'0087';'Satu                          ';'Haapanen                     ';'kasvatustieteen maisteri, luokanopettaja                    ';'Oulun vaalipiiri                ';'VIHR';'';'25952,74';'11784,63';'';'';'307,50';'';'8763,60';'3587,01';'83';'1427,00';'';'';'25952,74';'18741,91';'';'6640';' ';'';'200';'X';'';'';'X';'';'370,83';'X';'';'';' ';'';'';''
'0107';'Tuija Anne Marjut             ';'Pohjola                      ';'uinninopettaja, projektisuunnittelija                       ';'Oulun vaalipiiri                ';'SDP ';'';'23759,33';'9048,90';'';'3188,22';'';'';'2740,00';'4732,21';'';'3050,00';'';'1000,00';'23759,33';'4898,33';'';'16661';'X';'Villasukilla 616 paria yht 15 311,00      3 lahjoitusta yht 1350';'';' ';'';'';' ';'';'500';'X';'';'1700';'X';'3 yhd 500 euroa yht 1,500      1 yhd, 700 euroa';'';''
'0026';'Niilo Johannes                ';'Keränen                      ';'terveyskeskusylilääkäri                                     ';'Oulun vaalipiiri                ';'KESK';'';'17567,72';'10127,27';'0';'0';'100,80';'5000,00';'307,50';'1260,00';'0';'752,72';'0';'19,43';'17567,72';'0';'8972,72';'1895,00';'X';'Summaan 1895 € sisältyy tukiryhmän vaalitilaisuudessa järjestämää arpaljaistuloa 160 €';'200,00';'X';'';'0';'X';'';'6500,00';' ';'Tuki saatu Suomen Keskusta rp Taivalkosken kunnallijärjestöltä (sain tietooni ilmeisen virheellisen Y-tunnuksen)';'';' ';'';'0';'Kohdassa 1 (vaalikulut) olen merkinnyt kohtaan &quot;muut viestintävälineet&quot; Keskustan Pohjois-Pohjanmaan piirille maksetun 5000 €, jolla piiri on järjestänyt yhteismainontaa niin lehdissä kuin TV:ssäkin.'
'0098';'Erkki                         ';'Pulliainen                   ';'emeritusprofessori, kansanedustaja                          ';'Oulun vaalipiiri                ';'VIHR';'';'19995,99';'11763,62';'';'';'';'';'1900,35';'3771,81';'652,02';'1491,19';'';'417';'19995,99';'18445,99';'';'1050';'X';'';'';'X';'';'';'X';'';'';'X';'';'500';'X';'';'';''
'0145';'Eero Johannes                 ';'Suutari                      ';'toimitusjohtaja, insinööri                                  ';'Oulun vaalipiiri                ';'KOK ';'';'84242,62';'14032,73';'876,99';'22779,53';'1398,04';'205,2';'10846,60';'9979,45';'14760';'7534,93';'';'1829,15';'84242,62';'58242,62';'';'';' ';'';'6000';' ';'';'';' ';'';'20000';' ';'';'';' ';'';'';''
'0042';'Pentti Herman                 ';'Kettunen                     ';'eläkeläinen                           ';'Oulun vaalipiiri                ';'PS  ';'';'5000';'3960,58';'';'';'';'';'251,40';'128,54';'';'';'';'659,48';'5000';'4250';'';'750';'X';'';'';'X';'';'';'X';'';'';'X';'';'';'X';'';'';''
